Instancia  |  Depositos |   Clientes |  Vehiculos |      Tiempo (s) |     Valor Objetivo
-------------------------------------------------------------------------------------
p01.txt    |          4 |         50 |          4 |  226.8261952400 |     607.9595230037
p02.txt    |          4 |         50 |          2 |  215.4073042870 |     481.8459810523
p03.txt    |          5 |         75 |          3 |  372.1186435223 |     725.0648217337
p04.txt    |          2 |        100 |          8 |  552.4075999260 |    1135.4239206976
p05.txt    |          2 |        100 |          5 |  536.3566236496 |     926.1597232311
p06.txt    |          3 |        100 |          6 |  554.7020778656 |    1820.2559098286
p07.txt    |          4 |        100 |          4 |  555.9690048695 |     973.5128673290
p08.txt    |          2 |        249 |         14 | 2291.0404684544 |    8513.4574498881
p09.txt    |          3 |        249 |         12 | 2294.4969573021 |    7461.9304090405
p10.txt    |          4 |        249 |          8 | 2290.1176130772 |    7428.8400155863
p11.txt    |          5 |        249 |          6 | 2292.0102174282 |    6345.5738199652
p12.txt    |          2 |         80 |          5 |  396.1839363575 |    1556.7599813040
p13.txt    |          2 |         80 |          5 |  396.5866305828 |    1630.2616745616
p14.txt    |          2 |         80 |          5 |  396.5350606441 |    1579.6389314417
p15.txt    |          4 |        160 |          5 | 1110.1307599545 |    3609.1632261236
p16.txt    |          4 |        160 |          5 | 1109.6191761494 |    3661.6838331594
p17.txt    |          4 |        160 |          5 | 1111.3907840252 |    3587.6936230753
p18.txt    |          6 |        240 |          5 | 2148.3204054832 |   19957.0610400094
p19.txt    |          6 |        240 |          5 | 2148.1391081810 |    6059.0882885490
p20.txt    |          6 |        240 |          5 | 2145.6847801208 |    6851.5870989370
p21.txt    |          9 |        360 |          5 | 4321.5836322308 |   15334.7726185474
p22.txt    |          9 |        360 |          5 | 4343.8267803192 |   22710.7834668759
p23.txt    |          9 |        360 |          5 | 4351.7715020180 |   17095.3114538802
